Title,Authors,Publish_Date,Abstract,Article_Link,correspondence_author,keywords,correspondance_author_email
Perturbation and resilience of the gut microbiome up to 3 months after β-lactams exposure in healthy volunteers suggest an important role of microbial β-lactamases,"Camille d’Humières, Margot Delavy, Laurie Alla, Farid Ichou, Emilie Gauliard, Amine Ghozlane, Florence Levenez, Nathalie Galleron, Benoit Quinquis, Nicolas Pons, Jimmy Mullaert, Antoine Bridier-Nahmias, Bénédicte Condamine, Marie Touchon, Dominique Rainteau, Antonin Lamazière…",3/12/2024,"Antibiotics notoriously perturb the gut microbiota. We treated healthy volunteers either with cefotaxime or ceftriaxone for 3 days, and collected in each subject 12 faecal samples up to day 90. Using untargete...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01746-0,Charles Burdet,"Antibiotics, Human gut microbiota, Metagenomics, Metabolomics, Resilience, β-lactamase",charles.burdet@inserm.fr
Interindividual differences in aronia juice tolerability linked to gut microbiome and metabolome changes—secondary analysis of a randomized placebo-controlled parallel intervention trial,"Sonja Lackner, Alexander Mahnert, Christine Moissl-Eichinger, Tobias Madl, Hansjörg Habisch, Nathalie Meier-Allard, Christina Kumpitsch, Theresa Lahousen, Alexandra Kohlhammer-Dohr, Sabrina Mörkl, Herbert Strobl and Sandra Holasek",3/9/2024,"Aronia melanocarpa is a berry rich in polyphenols known for health benefits. However, the bioavailability of polyphenols has been questioned, and the individual taste acceptance of the fruit with its specific fla...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01774-4,Sandra Holasek,"Aronia juice, Polyphenols, Tolerability, Complaints, Mucus, Bile acid, Lipoprotein metabolism, Gut microbiome modeling, Metabolomics",sandra.holasek@medunigraz.at
Multi-omics reveals that alkaline mineral water improves the respiratory health and growth performance of transported calves,"Jiancheng Qi, Linli Gan, Fangyuan Huang, Yue Xie, Hongrui Guo, Hengmin Cui, Junliang Deng, Liping Gou, Dongjie Cai, Chunhui Pan, Xia Lu, Ali Mujtaba Shah, Jing Fang and Zhicai Zuo",3/8/2024,"Long-distance transportation, a frequent practice in the cattle industry, stresses calves and results in morbidity, mortality, and growth suppression, leading to welfare concerns and economic losses. Alkaline ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01742-4,"Jing Fang,Zhicai Zuo","Calf, Transportation stress, Alkaline mineral water, Clinical scoring system, Multi-omics","fangjing4109@163.com, czyhzzc@126.com"
Macroalgal microbiomes unveil a valuable genetic resource for halogen metabolism,"Anna Lavecchia, Bruno Fosso, Aschwin H. Engelen, Sara Borin, Caterina Manzari, Ernesto Picardi, Graziano Pesole and Antonio Placido",3/7/2024,"Macroalgae, especially reds (Rhodophyta Division) and browns (Phaeophyta Division), are known for producing various halogenated compounds. Yet, the reasons underlying their production and the fate of these met...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01740-6,Antonio Placido,"Holobiont, Macroalgae, Sphaerococcus coronopifolius, Asparagopsis taxiformis, Halopteris scoparia, Microbiome, Metagenome-assembled genomes (MAGs), Organohalogens, Halogenation, Dehalogenation",a.placido@ibiom.cnr.it
The astounding exhaustiveness and speed of the Astral mass analyzer for highly complex samples is a quantum leap in the functional analysis of microbiomes,"Thibaut Dumas, Roxana Martinez Pinna, Clément Lozano, Sonja Radau, Olivier Pible, Lucia Grenga and Jean Armengaud",3/7/2024,"By analyzing the proteins which are the workhorses of biological systems, metaproteomics allows us to list the taxa present in any microbiota, monitor their relative biomass, and characterize the functioning o...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01766-4,Jean Armengaud,"Tandem mass spectrometry, Microbiome, Proteotyping, Taxonomy, Functional analysis",jean.armengaud@cea.fr
Proportion-based normalizations outperform compositional data transformations in machine learning applications,"Aaron Yerke, Daisy Fry Brumit and Anthony A. Fodor",3/5/2024,"Normalization, as a pre-processing step, can significantly affect the resolution of machine learning analysis for microbiome studies. There are countless options for normalization scheme selection. In this stu...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01747-z,Anthony A. Fodor,"Metagenomics, Statistical data interpretation, Compositional data, Machine learning, Random forest, High-throughput nucleotide sequencing, Transformation, Normalization, PhILR",afodor@charlotte.edu
Host genotype-specific rhizosphere fungus enhances drought resistance in wheat,"Hong Yue, Xuming Sun, Tingting Wang, Ali Zhang, Dejun Han, Gehong Wei, Weining Song and Duntao Shu",3/4/2024,The severity and frequency of drought are expected to increase substantially in the coming century and dramatically reduce crop yields. Manipulation of rhizosphere microbiomes is an emerging strategy for mitig...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01770-8,"Gehong Wei,Weining Song,Duntao Shu","Wheat, Rhizosphere, Microbiome, Drought, Multi-omics","weigehong@nwafu.edu.cn, sweining2002@yahoo.com, donald.shu@nwafu.edu.cn"
"New insights into bioaugmented removal of sulfamethoxazole in sediment microcosms: degradation efficiency, ecological risk and microbial mechanisms","Jianfei Chen, Xiuli Chen, Ying Zhu, Shuang Yan and Shuguang Xie",2/29/2024,"Bioaugmentation has the potential to enhance the ability of ecological technology to treat sulfonamide-containing wastewater, but the low viability of the exogenous degraders limits their practical application...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01741-5,Shuguang Xie,"Bioaugmentation, Sulfonamide, Antibiotic resistance genes (ARGs), DNA-stable isotope probing, Metagenomics",xiesg@pku.edu.cn
Host starvation and in hospite degradation of algal symbionts shape the heat stress response of the Cassiopea-Symbiodiniaceae symbiosis,"Gaëlle Toullec, Nils Rädecker, Claudia Pogoreutz, Guilhem Banc-Prandi, Stéphane Escrig, Christel Genoud, Cristina Martin Olmos, Jorge Spangenberg and Anders Meibom",2/29/2024,"Global warming is causing large-scale disruption of cnidarian-Symbiodiniaceae symbioses fundamental to major marine ecosystems, such as coral reefs. However, the mechanisms by which heat stress perturbs these ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01738-0,"Gaëlle Toullec,Anders Meibom","Climate change, Photosymbiosis, Cnidaria, Symbiodiniaceae, Bleaching, Metabolism, NanoSIMS","gaelletoullec00@gmail.com, anders.meibom@epfl.ch"
Bacteroides salyersiae is a potent chondroitin sulfate-degrading species in the human gut microbiota,"Yamin Wang, Mingfeng Ma, Wei Dai, Qingsen Shang and Guangli Yu",2/29/2024,"Chondroitin sulfate (CS) has widely been used as a symptomatic slow-acting drug or a dietary supplement for the treatment and prevention of osteoarthritis. However, CS could not be absorbed after oral intake d...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01768-2,"Qingsen Shang,Guangli Yu","Bacteroides salyersiae, Chondroitin sulfate, Gut microbiota, Bacteroides stercoris, Glycosaminoglycans, Degradation, Fermentation, Short-chain fatty acids, Polysaccharides, Oligosaccharides","shangqingsen@ouc.edu.cn, glyu@ouc.edu.cn"
From phyllosphere to insect cuticles: silkworms gather antifungal bacteria from mulberry leaves to battle fungal parasite attacks,"Pengfei Zhao, Song Hong, Yuekun Li, Haimin Chen, Hanchun Gao and Chengshu Wang",2/26/2024,"Bacterial transfers from plants to insect herbivore guts have been well investigated. However, bacterial exchanges between plant phyllospheres and insect cuticles remain unclear, as does their related biologic...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01764-6,Chengshu Wang,"Silkworm, Cuticular microbiotas, Cross-kingdom transfer, Antifungal lysozyme, Probiotic",wangcs@sippe.ac.cn
Time-shifted expression of acetoclastic and methylotrophic methanogenesis by a single Methanosarcina genomospecies predominates the methanogen dynamics in Philippine rice field soil,"Xin Li, Qicheng Bei, Mehrdad Rabiei Nematabad, Jingjing Peng and Werner Liesack",2/26/2024,"The final step in the anaerobic decomposition of biopolymers is methanogenesis. Rice field soils are a major anthropogenic source of methane, with straw commonly used as a fertilizer in rice farming. Here, we ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01739-z,"Jingjing Peng,Werner Liesack","Metatranscriptomics, Metagenomics, Rice field soil, Straw, Methanogenic decomposition, Methylotrophic methanogenesis, Methanosarcinaceae","jingjing.peng@cau.edu.cn, liesack@mpi-marburg.mpg.de"
Multi-omics reveal mechanisms of high enteral starch diet mediated colonic dysbiosis via microbiome-host interactions in young ruminant,"Chunjia Jin, Shengru Wu, Ziqi Liang, Jun Zhang, Xinjian Lei, Hanxun Bai, Gaofeng Liang, Xiaodong Su, Xiaodong Chen, Peiyue Wang, Yue Wang, Leluo Guan and Junhu Yao",2/24/2024,"Although rumen development is crucial, hindgut undertakes a significant role in young ruminants’ physiological development. High-starch diet is usually used to accelerate rumen development for young ruminants,...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01760-w,"Shengru Wu,Leluo Guan,Junhu Yao","Enteral starch, Colonic homeostasis, Colonic microbiome, Metabolism, Transcriptome, TH2 cytokine pattern","wushengru2013@163.com, leluo.guan@ualberta.ca, yaojunhu2004@sohu.com"
Gut microbiota modulation enhances the immune capacity of lizards under climate warming,"Jing Yang, Weiqiang Liu, Xingzhi Han, Xin Hao, Qibin Yao and Weiguo Du",2/22/2024,Host-microbial interactions are expected to affect species’ adaptability to climate change but have rarely been explored in ectothermic animals. Some studies have shown that short-term warming reduced gut micr...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01736-2,Weiguo Du,"Climate change, Intestinal microflora, Immune capacity, Microbial symbiont, Reptile, Temperature",duweiguo@ioz.ac.cn
Novel functional insights into the microbiome inhabiting marine plastic debris: critical considerations to counteract the challenges of thin biofilms using multi-omics and comparative metaproteomics,"Lauren F. Messer, Charlotte E. Lee, Ruddy Wattiez and Sabine Matallana-Surget",2/22/2024,"Microbial functioning on marine plastic surfaces has been poorly documented, especially within cold climates where temperature likely impacts microbial activity and the presence of hydrocarbonoclastic microorg...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01751-x,Sabine Matallana-Surget,"Marine plastisphere, Microbial community function, Multi-omics, Comparative metaproteomics",sabine.matallanasurget@stir.ac.uk
Distinct intestinal microbial signatures linked to accelerated systemic and intestinal biological aging,"Shalini Singh, Leila B. Giron, Maliha W. Shaikh, Shivanjali Shankaran, Phillip A. Engen, Zlata R. Bogin, Simona A. Bambi, Aaron R. Goldman, Joao L. L. C. Azevedo, Lorena Orgaz, Nuria de Pedro, Patricia González, Martin Giera, Aswin Verhoeven, Elena Sánchez-López, Ivona Pandrea…",2/22/2024,"People living with HIV (PLWH), even when viral replication is controlled through antiretroviral therapy (ART), experience persistent inflammation. This inflammation is partly attributed to intestinal microbial...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01758-4,Mohamed Abdel-Mohsen,"HIV, Biological aging, Aging clocks, Microbiome, Metabolome, Intestines, Gut",mmohsen@Wistar.org
Gut dysbiosis induces the development of depression-like behavior through abnormal synapse pruning in microglia-mediated by complement C3,"Wenzhi Hao, Qingyu Ma, Lu Wang, Naijun Yuan, Hua Gan, Liangliang He, Xiaojuan Li, Junqing Huang and Jiaxu Chen",2/20/2024,Remodeling eubiosis of the gut microenvironment may contribute to preventing the occurrence and development of depression. Mounting experimental evidence has shown that complement C3 signaling is associated wi...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01756-6,"Xiaojuan Li,Junqing Huang,Jiaxu Chen","Complement C3, Depression, Fecal microbiota transplantation, Gut microbiota, Microglia, Synaptic pruning","lixiaojuan@jnu.edu.cn, jqhuang@jnu.edu.cn, chenjiaxu@hotmail.com"
Integrated meta-omics reveals the regulatory landscape involved in lipid metabolism between pig breeds,"Jiajie Sun, Fang Xie, Jing Wang, Junyi Luo, Ting Chen, Qingyan Jiang, Qianyun Xi, George E. Liu and Yongliang Zhang",2/20/2024,Domesticated pigs serve as an ideal animal model for biomedical research and also provide the majority of meat for human consumption in China. Porcine intramuscular fat content associates with human health and...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01743-3,"Qianyun Xi,George E. Liu,Yongliang Zhang","Animal model, Intermuscular fat, Single-cell RNA sequencing, Lipidomics, Metagenome","xiqianyun_scau@163.com, george.liu@usda.gov, zhangyl_scau@163.com"
Particle-attached bacteria act as gatekeepers in the decomposition of complex phytoplankton polysaccharides,"Feng-Qing Wang, Daniel Bartosik, Chandni Sidhu, Robin Siebers, De-Chen Lu, Anke Trautwein-Schult, Dörte Becher, Bruno Huettel, Johannes Rick, Inga V. Kirstein, Karen H. Wiltshire, Thomas Schweder, Bernhard M. Fuchs, Mia M. Bengtsson, Hanno Teeling and Rudolf I. Amann",2/20/2024,"Marine microalgae (phytoplankton) mediate almost half of the worldwide photosynthetic carbon dioxide fixation and therefore play a pivotal role in global carbon cycling, most prominently during massive phytopl...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01757-5,"Mia M. Bengtsson,Hanno Teeling,Rudolf I. Amann","Algal bloom, Algal polysaccharide, Bacterioplankton, Bacteroidota, Carbohydrate-active enzyme, Carbon budget, Carbon cycle, Free-living bacteria, Helgoland Roads LTER, Marine microbes, Particle-attached bacteria, Particulate organic matter, Polysaccharide utilization locus","mia.bengtsson@uni-greifswald.de, hteeling@mpi-bremen.de, ramann@mpi-bremen.de"
Effect of a multi-strain probiotic mixture consumption on anxiety and depression symptoms induced in adult mice by postnatal maternal separation,"Francesca De Santa, Georgios Strimpakos, Nicole Marchetti, Giorgio Gargari, Alessio Torcinaro, Stefania Arioli, Diego Mora, Carla Petrella and Stefano Farioli-Vecchioli",2/19/2024,Bisphenol A (BPA) is an environmental contaminant with endocrine-disrupting properties that induce fetal growth restriction (FGR). Previous studies on pregnant ewes revealed that BPA exposure causes placental ...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01752-w,Stefano Farioli-Vecchioli,"Anxiety and depression, Probiotic, Gut-brain axis, Microbiota, Short-chain fatty acids, Inflammation, Adult neurogenesis",stefano.fariolivecchioli@cnr.it
"Gut microbiota contributes to bisphenol A-induced maternal intestinal and placental apoptosis, oxidative stress, and fetal growth restriction in pregnant ewe model by regulating gut-placental axis","Hao Zhang, Xia Zha, Bei Zhang, Yi Zheng, Mabrouk Elsabagh, Hongrong Wang and Mengzhi Wang",2/17/2024,"Seagrasses offer various ecosystem services and possess high levels of primary productivity. However, the development of mariculture has affected the homeostasis of seagrass meadow ecosystems. Plant-microbiome...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01749-5,"Hao Zhang,Mengzhi Wang","Bisphenol A, Fetal growth restriction, Gut microbiota, Gut-placental axis, Pregnant ewe","zhanghao006384@yzu.edu.cn, mzwang@yzu.edu.cn"
Novel insights into the rhizosphere and seawater microbiome of Zostera marina in diverse mariculture zones,"Hao Sun, Tianyu Wang, Shuai Liu, Xiaoyu Tang, Jie Sun, Xuerui Liu, Ye Zhao, Pingping Shen and Yanying Zhang",2/14/2024,Horizontal gene transfer (HGT) describes the transmission of DNA outside of direct ancestral lineages. The process is best characterised within the bacterial kingdom and can enable the acquisition of genetic t...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01759-3,Yanying Zhang,"Zostera marina, Bacterial community, Eukaryotic community, Fungal community, Rhizosphere",zhyanying@ytu.edu.cn
Horizontal gene transfer after faecal microbiota transplantation in adolescents with obesity,"Anna H. Behling, Brooke C. Wilson, Daniel Ho, Wayne S. Cutfield, Tommi Vatanen and Justin M. O’Sullivan",2/12/2024,"Chickens are one of the most widely farmed animals worldwide and play a crucial role in meat and egg production. Gut microbiota is essential for chickens’ health, disease, growth, and egg production. However, ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01748-6,"Tommi Vatanen,Justin M. O’Sullivan","Horizontal gene transfer, Faecal microbiota transplantation, Human gut microbiome, Strain engraftment, Obesity","tommi.vatanen@helsinki.fi, justin.osullivan@auckland.ac.nz"
Metagenome-assembled genome reveals species and functional composition of Jianghan chicken gut microbiota and isolation of Pediococcus acidilactic with probiotic properties,"Hongye Shen, Tinghui Wang, Weiwei Dong, Guoping Sun, Jun Liu, Nan Peng and Shumiao Zhao",2/12/2024,"The effect of microbes on their human host is often mediated through changes in metabolite concentrations. As such, multiple tools have been proposed to predict metabolite concentrations from microbial taxa fr...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01745-1,Shumiao Zhao,"Free-range chicken, Gut microbiota, Metagenomic sequencing, Potential probiotics, Antibiotic resistance genes",shumiaozhao@mail.hzau.edu.cn
Divergent maturational patterns of the infant bacterial and fungal gut microbiome in the first year of life are associated with inter-kingdom community dynamics and infant nutrition,"Emily M. Mercer, Hena R. Ramay, Shirin Moossavi, Isabelle Laforest-Lapointe, Myrtha E. Reyna, Allan B. Becker, Elinor Simons, Piush J. Mandhane, Stuart E. Turvey, Theo J. Moraes, Malcolm R. Sears, Padmaja Subbarao, Meghan B. Azad and Marie-Claire Arrieta",2/7/2024,"Infant gut microbiota is highly malleable, but the long-term longitudinal impact of antibiotic exposure in early life, together with the mode of delivery on infant gut microbiota and resistome, is not extensiv...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01735-3,Marie-Claire Arrieta,"Gut microbiome, Gut mycobiome, Alpha diversity, Early life, Microbial succession, Microbiome maturation, Colonization patterns, Inter-kingdom dynamics, Gut fungi",marie.arrieta@ucalgary.ca
Gut microbiota-derived LCA mediates the protective effect of PEDV infection in piglets,"Jun-Hong Xing, Tian-Ming Niu, Bo-Shi Zou, Gui-Lian Yang, Chun-Wei Shi, Qing-Song Yan, Ming-Jie Sun, Tong Yu, Shu-Min Zhang, Xi-Ze Feng, Shu-Hui Fan, Hai-Bin Huang, Jun-Hong Wang, Ming-Han Li, Yan-Long Jiang, Jian-Zhong Wang…",2/5/2024,The recent recognition of the importance of the microbiome to the host’s health and well-being has yielded efforts to develop therapies that aim to shift the microbiome from a disease-associated state to a hea...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01734-4,"Wen-Tao Yang,Chun-Feng Wang","Infection resistance, Gut microbiota, Macrogenomic, Metabolomic, T cell response","yangwentao@jlau.edu.cn, wangchunfeng@jlau.edu.cn"
Early life exposure of infants to benzylpenicillin and gentamicin is associated with a persistent amplification of the gut resistome,"Dhrati V. Patangia, Ghjuvan Grimaud, Carol-Anne O’Shea, C. A. Ryan, Eugene Dempsey, Catherine Stanton and R. Paul Ross",2/3/2024,"Many arthropods rely on their gut microbiome to digest plant material, which is often low in nitrogen but high in complex polysaccharides. Detritivores, such as millipedes, live on a particularly poor diet, bu...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01732-6,R. Paul Ross,"Infant gut, Gut microbiota, Shotgun metagenomics, Resistome profile, Strain persistence",p.ross@ucc.ie
Differential effects of antiretroviral treatment on immunity and gut microbiome composition in people living with HIV in rural versus urban Zimbabwe,"Angela Sofia Burkhart Colorado, Alessandro Lazzaro, Charles Preston Neff, Nichole Nusbacher, Kathryn Boyd, Suzanne Fiorillo, Casey Martin, Janet C. Siebert, Thomas B. Campbell, Margaret Borok, Brent E. Palmer and Catherine Lozupone",2/3/2024,Biofilms in sulfide-rich springs present intricate microbial communities that play pivotal roles in biogeochemical cycling. We studied chemoautotrophically based biofilms that host diverse CPR bacteria and gro...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01718-4,"Brent E. Palmer,Catherine Lozupone","HIV, Intestinal microbiome, ART response, Immune activation and exhaustion, Inflammation, Urban, Rural","BRENT.PALMER@CUANSCHUTZ.EDU, Catherine.lozupone@cuanschutz.edu"
"Functional similarity, despite taxonomical divergence in the millipede gut microbiota, points to a common trophic strategy","Julius Eyiuche Nweze, Vladimír Šustr, Andreas Brune and Roey Angel",1/29/2024,"Plant microbiomes play crucial roles in nutrient cycling and plant growth, and are shaped by a complex interplay between plants, microbes, and the environment. The role of bacteria as mediators of the 400-mill...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01731-7,Roey Angel,"Polysaccharide degradation, Hindgut microbiota, Millipede holobiont, Symbiosis, Glycoside hydrolases, Nutrient cycling, Acetogens, Ecosystem engineers",roey.angel@bc.cas.cz
Autotrophic biofilms sustained by deeply sourced groundwater host diverse bacteria implicated in sulfur and hydrogen metabolism,"Luis E. Valentin-Alvarado, Sirine C. Fakra, Alexander J. Probst, Jonathan R. Giska, Alexander L. Jaffe, Luke M. Oltrogge, Jacob West-Roberts, Joel Rowland, Michael Manga, David F. Savage, Chris Greening, Brett J. Baker and Jillian F. Banfield",1/26/2024,The increasing prevalence of neurocognitive disorders (NCDs) in the aging population worldwide has become a significant concern due to subjectivity of evaluations and the lack of precise diagnostic methods and...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01704-w,Jillian F. Banfield,"Candidate phyla radiation, Groundwater microbiome, Synchrotron-based spectromicroscopy",jbanfield@berkeley.edu
Metagenomics reveals the temporal dynamics of the rumen resistome and microbiome in goat kids,"Jianmin Chai, Yimin Zhuang, Kai Cui, Yanliang Bi and Naifeng Zhang",1/22/2024,"Fonio (Digitaria exilis), an orphan millet crop, is the oldest indigenous crop in West Africa. Although the yield is low due to pre-domestication characteristics, the quick maturation time, drought tolerance, and...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-023-01733-5,"Yanliang Bi,Naifeng Zhang","Rumen resistome, Metagenomics, Microbiome, Ruminants, Ages, Temporal dynamics, Diet, Horizontal transfer","vetbi2008@163.com, zhangnaifeng@caas.cn"
